Twitter Listener Keywords,,,,,,,,,,,
This is a list of keywords to use for the Twitter Listener,,,,,,,,,,,
"When adding a company, create 3 lines for it: One for Hashtags , One for usernames used by that company , and one for mentions of the company or its products",,,,,,,,,,,
,,,,,,,,,,,
"Remember: Hastags start with # , usernames start with @",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Walmart Hashtags,#Walmart ,#Wal-Mart,,,,,,,,,
Walmart Usernames,@Walmart,@WalmartCanada,,,,,,,,,
Walmart Mentions,Walmart,Wal Mart,Wal-Mart,,,,,,,,
,,,,,,,,,,,
Amazon Hashtags,#Amazon,,,,,,,,,,
Amazon Usernames,@Amazon,@AmazonGames,,,,,,,,,
Amazon Mentions,Amazon Prime,Amazon,,,,,,,,,
,,,,,,,,,,,
Samsung Hashtags,#Samsung,#GalaxyS8,#GalaxyTabS3,,,,,,,,
Samsung Usernames,@Samsung,@Samsung Canada,,,,,,,,,
Samsung Mentions,samsung tv,smarthub,samsung galaxy,,,,,,,,
,,,,,,,,,,,
Apple Hashtags,#Apple,#apple,#MacbookPro,#iPhone,#Applestore,#ipad3,#ipad,#iphone6,#macbook,#iphone7,#iphone
Apple Usernames,@Apple,@AppleSupport,@tim_cook,@AppStore,@AppleMusic,,,,,,
Apple Mentions,,,,,,,,,,,
,,,,,,,,,,,
Microsoft / Xbox Hashtags,#Surface,#SurfacePro,#Surfacebook,#Surface4,,,,,,,
Microsoft / Xbox Usernames,@Xbox,@XboxSupport,,,,,,,,,
Microsoft / Xbox Mentions,,,,,,,,,,,
,,,,,,,,,,,
Sony Hashtags,#Playstation,#Horizon-Zero-Dawn,#PS4,,,,,,,,
Sony Usernames,@Sony,@Playstation,,,,,,,,,
Sony Mentions,Playstation,PS4,Horizon Zero Dawn,Bravia,4K,,,,,,
,,,,,,,,,,,
Visions  Hashtags,,,,,,,,,,,
Visions Usernames,@VisionsDeals,,,,,,,,,,
Visions Mentions,,,,,,,,,,,
,,,,,,,,,,,
BestBuy Hashtags,#bestbuy,#customercare,,,,,,,,,
BestBuy Usernames,@BestBuyCanada,@BestBuyCanHelp,@BBYCanadaJobs,@BestBuy,@BBYCanadaDeals,@GeekSquad,@twelpforce,@BestBuySupport,@bbfb_bestbuy,@BestBuyAPI,@BestBuyQuebec 
